ID da obra,Código da obra,Contratada,Fim previsto,Início da obra,Data da ordem de serviço,Descrição,Dias aditivado,Latitude,Longitude,Município,Número da licitação,Número da ordem de serviço,Número SACC,Percentual executado,Prazo inicial,Secretaria/Órgão,Situação,Tipo do contrato,Valor
7896,0532018SOP10,M3 BUILDER,4/7/2019,4/9/2018,3/9/2018,"EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DA SERRA DA IBIAPABA/SERTÃO DE CANINDÉ/SERTÃO DOS INHAMUNS, NA LOCALIDADE DE AIUABA - CE",181,,,AIUABA,20170028,158/2018,1042973,100,90,SOP,Concluída,Obra,"143934,11"
7893,0532018SOP07,M3 BUILDER,4/7/2019,4/9/2018,3/9/2018,"EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DA SERRA DA IBIAPABA/SERTÃO DE CANINDÉ/SERTÃO DOS INHAMUNS, NA LOCALIDADE DE ITATIRA- CE",181,,,ITATIRA,20170028,158/2018,1042973,100,90,SOP,Concluída,Obra,"158145,54"
7892,0532018SOP06,M3 BUILDER,4/7/2019,4/9/2018,3/9/2018,"EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DA SERRA DA IBIAPABA/SERTÃO DE CANINDÉ/SERTÃO DOS INHAMUNS, NA LOCALIDADE DE CARIDADE- CE",181,,,CARIDADE,20170028,158/2018,1042973,"83,68",90,SOP,Em Execução,Obra,"158145,54"
7891,0532018SOP05,M3 BUILDER,4/7/2019,4/9/2018,3/9/2018,"EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DA SERRA DA IBIAPABA/SERTÃO DE CANINDÉ/SERTÃO DOS INHAMUNS, NA LOCALIDADE DE UBAJARA - CE",181,,,UBAJARA,20170028,158/2018,1042973,100,90,SOP,Concluída,Obra,"146196,69"
6936,062015CCIVIL01,OK EMPREENDIMENTOS,13/6/2015,15/4/2015,15/4/2015,"SERVIÇOS DE MANUTENÇÃO PREVENTIVA, CORRETIVA E REFORMA EM PRÉDIOS PÚBLICOS - CASA CIVIL - REFORMA DAS INSTALAÇÕES DA CASA AMARELA",0,,,FORTALEZA,20140002,048/2015,S2GPR,"92,44",60,C.CIVIL,Concluida,Manutenção,"36337,39"
7608,02592017SEDUC01,EXPERT CONSTRUÇÕES E SERVIÇOS LTDA - ME,6/1/2018,10/7/2017,14/6/2017,CONSTRUÇÃO DE UM CENTRO DE EDUCAÇÃO INFANTIL - CEI - LAVRAS DA MANGABEIRA - CE,0,,,LAVRAS DA MANGABEIRA,20160013,054/2017,1009230,0,180,SEDUC,Concluída,Obra,"1237313,16"
7442,02192016SEDUC02,CONSTRUTORA VETOR,30/6/2018,4/7/2016,27/4/2016,"CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICIPIO BELA CRUZ - CE
",366,,,BELA CRUZ,20140012,067/2016,979677,100,360,SEDUC,Concluída,Obra,"8081517,41"
7272,01532015SEDUC01,AMP ENGENHARIA,26/2/2018,18/1/2016,18/1/2016,"OBRA DE CONSTRUÇÃO DA EEMI DONA HILZA DIOGO, LOCALIZADA EM FORTALEZA - CE",480,,,FORTALEZA,20140004,017/2016,974702,"61,24",240,SEDUC,Cancelada,Obra,"1238432,07"
7955,0582018SOP02,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE ARACOIABA - CE,271,"-4,368895","-38,814955",ARACOIABA,20170031,081/2018,1045694,"97,76",90,SOP,Concluída,Obra,"207120,69"
7953,01512018SPS01,ATHOS CONSTRUÇÕES,7/11/2019,5/6/2018,30/5/2018,CONSTRUÇÃO DO CENTRO DE ESPORTES EM PRAÇA - PRAÇA MAIS INFÂNCIA NO MUNICÍPIO DE CRATO - CE,120,,,CRATO,20170042,080/2018,1043340,100,120,SPS,Concluída,Obra,"917125,35"
7273,01532015SEDUC02,AMP ENGENHARIA,26/2/2018,18/1/2016,18/1/2016,"OBRA DE CONSTRUÇÃO DA EEMI DONA HILZA DIOGO, LOCALIZADA EM FORTALEZA - CE",480,"-3,714565","-38,597321",FORTALEZA,20140004,017/2016,974702,"37,89",240,SEDUC,Cancelada,Obra,"4697040,63"
7607,02582017SEDUC01,CONSTRUTORA MORAIS VASCONCELOS LTDA.,15/1/2019,20/6/2017,20/6/2017,"CONCLUSÃO DA CONSTRUÇÃO DE UMA ESCOLA DE ENSINO MÉDIO, ÁREA RURAL NO MUNICÍPIO DE TAUÁ, LOCALIDADE MARRECAS - LOTE I",394,,,TAUÁ,20160003,058/2017,1013391,100,180,SEDUC,Concluída,Obra,"1851041,26"
7441,02192016SEDUC01,CONSTRUTORA VETOR,30/6/2018,4/7/2016,27/4/2016,"CONSTRUÇÃO DE UMA ESCOLA PROFISSIONALIZANTE NO MUNICIPIO BELA CRUZ - CE
",366,,,BELA CRUZ,20140012,067/2016,979677,100,360,SEDUC,Concluída,Obra,"5042326,66"
7956,0582018SOP03,MPI,2/7/2019,4/6/2018,30/5/2018,EXECUÇÃO DA OBRA DE CONSTRUÇÃO DE 13 CAMPINHOS PADRÕES NA REGIÃO DO MACIÇO DE BATURITÉ NA LOCALIDADE DE ARATUBA - CE,271,"-4,418062","-39,044658",ARATUBA,20170031,081/2018,1045694,"95,07",90,SOP,Concluída,Obra,"207120,69"
