subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,3/31/2020,12/31/2018,1/2/2019,HarrisX,C+,3012,rv,.03503724,0,45,35,49.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57208,92471,1/3/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/1/2019,1/3/2019,HarrisX,C+,3012,rv,.03415418,0,44,35,48.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57218,92479,1/4/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/2/2019,1/4/2019,HarrisX,C+,3003,rv,.03323129,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57221,92483,1/5/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/3/2019,1/5/2019,HarrisX,C+,3000,rv,.03243571,0,43,37,47.799591,42.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57229,92497,1/7/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/4/2019,1/6/2019,HarrisX,C+,3000,rv,.03169487,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57230,92498,1/7/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/5/2019,1/7/2019,HarrisX,C+,3005,rv,.03106095,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57231,92504,1/8/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/6/2019,1/8/2019,HarrisX,C+,3004,rv,.03040657,0,43,35,47.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57245,92595,1/9/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/7/2019,1/9/2019,HarrisX,C+,3010,rv,.0298623,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57288,92632,1/10/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/4/2019,1/11/2019,HarrisX,C+,7020,rv,.10446843,0,44,36,48.799591,41.004822,"",T,https://scottrasmussen.com/weekly-generic-ballot/,57295,92646,1/12/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/8/2019,1/10/2019,HarrisX,C+,3015,rv,0,0,44,36,48.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57291,92639,1/11/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/8/2019,1/11/2019,HarrisX,C+,3015,rv,.02167378,0,44,37,48.799591,42.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57294,92645,1/12/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/9/2019,1/12/2019,HarrisX,C+,3000,rv,.02120965,0,44,37,48.799591,42.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57313,92675,1/15/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/10/2019,1/13/2019,HarrisX,C+,3000,rv,.02085422,0,43,37,47.799591,42.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57314,92676,1/15/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/11/2019,1/14/2019,HarrisX,C+,3003,rv,.02053923,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57306,92669,1/15/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/12/2019,1/15/2019,HarrisX,C+,3002,rv,.02021101,0,44,35,48.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57317,92706,1/16/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/11/2019,1/18/2019,HarrisX,C+,7008,rv,.09293029,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/weekly-generic-ballot/,57353,92751,1/19/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/13/2019,1/16/2019,HarrisX,C+,3002,rv,.01990416,0,44,35,48.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57332,92722,1/17/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/14/2019,1/17/2019,HarrisX,C+,3004,rv,0,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57335,92728,1/18/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/15/2019,1/18/2019,HarrisX,C+,3005,rv,.01940488,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57352,92750,1/19/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/16/2019,1/19/2019,HarrisX,C+,3000,rv,.01912503,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57358,92759,1/21/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/17/2019,1/20/2019,HarrisX,C+,3000,rv,.01887501,0,43,35,47.799591,40.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57359,92760,1/21/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/18/2019,1/21/2019,HarrisX,C+,3002,rv,.01864996,0,41,35,45.799591,40.004822,"",T,https://scottrasmussen.com/generic-ballot-daily/,57360,92768,1/22/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/18/2019,1/22/2019,Morning Consult,B/C,1996,rv,.58155209,0,43,38,45.403647,40.753657,"","",https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,57380,92825,1/23/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/20/2019,1/21/2019,Emerson College,A-,942,rv,1.4006488,0,52.4,47.6,50.099294,45.25422,"","",https://www.emerson.edu/news-events/emerson-college-today/voters-split-trumps-offer-temporary-relief-dreamers-oppose-amnesty-warren-leads-among-announced-2020-democratic-candidates,57374,92812,1/22/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/19/2019,1/22/2019,HarrisX,C+,3003,rv,.01842693,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSDRXY3XbUZxutA66SmfIajPn7Gvh4IpsT0ZBZCDmFS2go2qejcqsABcPPcsdCT2Vcdix1amarp711G/pubhtml/sheet?headers=false&gid=0,57375,92824,1/23/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/18/2019,1/25/2019,HarrisX,C+,7010,rv,.08500101,0,42,35,46.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpMrUUby_9VCkRaYtsUEUJlc2AT5WK5NhNC2RIyOZA4GIhlaCTiTAcwQwWx-gR8jZFrgTfKNBBhneZ/pubhtml/sheet?headers=false&gid=0,57400,92862,1/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/20/2019,1/23/2019,HarrisX,C+,3006,rv,.0182249,0,42,35,46.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeJA8prfzn7Nvrc2KFUkphNaIVqVqFJoYBP8SR5GCnczDZLncr4KiBPmpAEvD4dN8o0B6H9PBjg2lN/pubhtml/sheet?headers=false&gid=0,57387,92844,1/24/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/21/2019,1/24/2019,HarrisX,C+,3008,rv,0,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2f8YU2dGqtORHvNLYcZilN-NBcT4V46cOq6uvXEYNIFBSmR2vtBpGdlVOI2T8J4uu7xgqMhp8AcjO/pubhtml/sheet?headers=false&gid=0,57393,92850,1/25/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/22/2019,1/25/2019,HarrisX,C+,3007,rv,.01786093,0,43,35,47.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3nB1G6A3sJIrBJisGOrV26afSxxv_7dIrVlnwCnM5aoZyQ9adAo6C0J4QfgLSGIa1B4afpTChRev0/pubhtml/sheet?headers=false&gid=0,57397,92861,1/26/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/23/2019,1/26/2019,HarrisX,C+,3000,rv,.01764141,0,42,36,46.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57411,92885,1/28/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/24/2019,1/27/2019,HarrisX,C+,3000,rv,.01745958,0,41,36,45.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57412,92886,1/28/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/25/2019,1/28/2019,HarrisX,C+,3003,rv,.01730371,0,43,36,47.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZE7Q9-vVl1RktqUBbqq6fRiGOT0enFHZUoJ2s2kchWiY8GfbSD33YOw35h2TJqGo8HCmTcK-IfZKs/pubhtml/sheet?headers=false&gid=0,57413,92897,1/29/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/26/2019,1/29/2019,HarrisX,C+,3003,rv,.01713653,0,43,36,47.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKFtv9BPbFjJJv2pkJdeW8RKZoYO1cPuJaEvU3eLWBiWKkeL9wP3rGKhtqbP507PWeHHeJxvo0AENi/pubhtml/sheet?headers=false&gid=0,57426,92934,1/30/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/25/2019,2/1/2019,HarrisX,C+,7007,rv,.07921779,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vTsawiD5yMtfsng11UefD0hcB2-lrj95ezdAZ98mOVkt4xPKeFEYwgd0JLEY35PUIdaqTIj5yfGnadP/pubhtml/sheet?headers=false&gid=0,57443,92969,2/2/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/27/2019,1/30/2019,HarrisX,C+,3001,rv,.01696393,0,43,36,47.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRZT0xB7_XW9cJu3bV5hV0GnOeAjV2d8bIe62HXg2SpVPdBDdtX2NABirxcmgH6IfbkaXHLc2L0dlzl/pubhtml/sheet?headers=false&gid=0,57433,92946,1/31/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/28/2019,1/31/2019,HarrisX,C+,3004,rv,0,0,41,36,45.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQm_ND88vhcB6a31PV4gL2JesCG8LLKKQ0UaACQfH_KHfvme6RtHwT2k1vxo8Mtjqjosd9QxG11Fv7k/pubhtml/sheet?headers=false&gid=0,57437,92951,2/1/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/29/2019,2/1/2019,HarrisX,C+,3004,rv,.01671512,0,41,36,45.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRNGtyrWqT7pJOw5G-QgoNLISYUeBixVMO7cg5Wj3jYXLYHyyU2YFGiYcknMEpjBeTpizDu8YZY6OYP/pubhtml/sheet?headers=false&gid=0,57441,92968,2/2/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/30/2019,2/2/2019,HarrisX,C+,3000,rv,.01656413,0,42,36,46.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57452,92996,2/4/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,1/31/2019,2/3/2019,HarrisX,C+,3000,rv,.01643082,0,43,36,47.799591,41.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57453,92997,2/4/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/1/2019,2/4/2019,HarrisX,C+,3004,rv,.01632572,0,42,35,46.799591,40.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vRfZmqr1ff1N4klmGd467lSKNAWlT0bsiGv7OveZeJu4ZrrRoC5W0TTaQvFk2g8akMGr4xJujbGJUhC/pubhtml/sheet?headers=false&gid=0,57454,93001,2/5/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/2/2019,2/5/2019,HarrisX,C+,3004,rv,.01620239,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQO6aK3ivLd-BvS9knGnGqSUbZbnvhEphoJXSEdsNhPqWQsJkKz5eycQgxpV0M1b6XKsfiDq6Aa8wVm/pubhtml/sheet?headers=false&gid=0,57463,93034,2/6/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/3/2019,2/6/2019,HarrisX,C+,3002,rv,.01607271,0,42,37,46.799591,42.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQlSvWzVWIWw9Ke0levh9Frh33odY3Jc2g_KELNI_eI8MY4Q-J_3M1uIlvmonvGusyWOIcZwgrqwH5W/pubhtml/sheet?headers=false&gid=0,57469,93048,2/7/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/1/2019,2/8/2019,HarrisX,C+,7008,rv,.07504166,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQzaZ8pb2Lsd33TrW61Zx65xx3aqcBV7quqlpvchQdM-kH3dRTee286wHoTfeZjagowAx9nBe1I6Cp8/pubhtml/sheet?headers=false&gid=0,57483,93070,2/9/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/4/2019,2/7/2019,HarrisX,C+,3002,rv,0,0,43,36,47.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQMzkDP2MVmaWQbpQvly4JtIJR_HPb-DqPCkZyRD6aQ0bNi_2STF1wGdx8KMGoD32FObj7xxvyLBech/pubhtml/sheet?headers=false&gid=0,57477,93062,2/8/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/5/2019,2/8/2019,HarrisX,C+,3003,rv,.01588873,0,42,36,46.799591,41.004822,"",T,https://docs.google.com/spreadsheets/d/e/2PACX-1vQpW7T0t4WNBXzAo_WgNd26LtPL3hR5GZUvBoSljGO2yGNGUb-lpkO8G6whb33YWJPhztugiTsHEwbb/pubhtml/sheet?headers=false&gid=0,57481,93069,2/9/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/6/2019,2/9/2019,HarrisX,C+,3000,rv,.01578079,0,42,35,46.799591,40.004822,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57489,93080,2/11/2019,18:00:07 31 Mar 2020
All polls,3/31/2020,2/6/2019,2/10/2019,McLaughlin & Associates,C/D,1000,lv,.58330398,0,46,45,46.7455,42.363245,"","",http://mclaughlinonline.com/pols/wp-content/uploads/2019/02/National-Monthly-Omnibus-February-1.pdf,57527,93157,2/15/2019,18:00:07 31 Mar 2020
