order,id,date,time,title,url,visitCount,typedCount,transition
0,21684,5/7/2024,17:38:14,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,link
1,21684,5/7/2024,17:38:13,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge?pli=1,2,0,link
2,21504,5/7/2024,17:37:54,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,7,0,link
3,21504,5/7/2024,17:37:54,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,7,0,link
4,21504,5/7/2024,17:37:49,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,7,0,link
5,21504,5/7/2024,17:37:49,Imagens - Google Drive,https://drive.google.com/drive/folders/1w8lfurPj3TakbhAiSiVtbMPji_PU-KNC,7,0,link
6,21535,5/7/2024,17:36:26,batalha no e-commerce - pedroitalocampos@gmail.com - Gmail,https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGxTFTtTPZLBcFRCFdjxmzLjrph,2,0,reload
7,21680,5/7/2024,17:35:32,accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANHnSKtKMvmKJasXXnTHvm3kPaGyoRXiFbIqU9VGSsoHc9hwNQlNjo4WiRA8VgZacpwScRW_PlgZ5-WdGbvmjOfZFeBP-4s2bFsBn9wOF2XkCkS9Kgk8Yf4rqydPtszArKWv-wnCqXQbP65ShmpNdWoY-NXu6ppd8hNuoOQB3wUTsB8c8SXUjVZMWVKwU0sR0_yagcfN8CNymWBB8F2NkhQlFItWkBX4pC6M40mVpc53bj2mlUZOAHIgrXbkPPzNss5dIV-mhdUKAPOaDFS3XjKxZWhXh6_6I6BO_uKZG0ETLiytdeMklS2CHMhUvTOa02D1v2-Ua5yEewGzHzpEGt62Y8S9YMdbv2MAn0kPw8ebYlHlb9KGE-HKdgYRd4BEXlVPH-cqpGM8YtSS2tSjXpBLhR5Vg164T5ETb5VMQMXbEPuFIptginRjpAyzpMzU9OWTqFf1caSD1pCL15Av4lhNWYk1A&flowName=GeneralOAuthFlow&as=S-1710985146%3A1715114128937128&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PvZYxmC_oKDP2ahoTFc1Sex4wMDEV-SlmatSnLbQF9qh23nnf28DDs2e4n_2WUaevi2FCIsGdEsPE7rQMKbwrl5JkQbQ#,https://accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANHnSKtKMvmKJasXXnTHvm3kPaGyoRXiFbIqU9VGSsoHc9hwNQlNjo4WiRA8VgZacpwScRW_PlgZ5-WdGbvmjOfZFeBP-4s2bFsBn9wOF2XkCkS9Kgk8Yf4rqydPtszArKWv-wnCqXQbP65ShmpNdWoY-NXu6ppd8hNuoOQB3wUTsB8c8SXUjVZMWVKwU0sR0_yagcfN8CNymWBB8F2NkhQlFItWkBX4pC6M40mVpc53bj2mlUZOAHIgrXbkPPzNss5dIV-mhdUKAPOaDFS3XjKxZWhXh6_6I6BO_uKZG0ETLiytdeMklS2CHMhUvTOa02D1v2-Ua5yEewGzHzpEGt62Y8S9YMdbv2MAn0kPw8ebYlHlb9KGE-HKdgYRd4BEXlVPH-cqpGM8YtSS2tSjXpBLhR5Vg164T5ETb5VMQMXbEPuFIptginRjpAyzpMzU9OWTqFf1caSD1pCL15Av4lhNWYk1A&flowName=GeneralOAuthFlow&as=S-1710985146%3A1715114128937128&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PvZYxmC_oKDP2ahoTFc1Sex4wMDEV-SlmatSnLbQF9qh23nnf28DDs2e4n_2WUaevi2FCIsGdEsPE7rQMKbwrl5JkQbQ#,2,0,link
8,21680,5/7/2024,17:35:32,accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANHnSKtKMvmKJasXXnTHvm3kPaGyoRXiFbIqU9VGSsoHc9hwNQlNjo4WiRA8VgZacpwScRW_PlgZ5-WdGbvmjOfZFeBP-4s2bFsBn9wOF2XkCkS9Kgk8Yf4rqydPtszArKWv-wnCqXQbP65ShmpNdWoY-NXu6ppd8hNuoOQB3wUTsB8c8SXUjVZMWVKwU0sR0_yagcfN8CNymWBB8F2NkhQlFItWkBX4pC6M40mVpc53bj2mlUZOAHIgrXbkPPzNss5dIV-mhdUKAPOaDFS3XjKxZWhXh6_6I6BO_uKZG0ETLiytdeMklS2CHMhUvTOa02D1v2-Ua5yEewGzHzpEGt62Y8S9YMdbv2MAn0kPw8ebYlHlb9KGE-HKdgYRd4BEXlVPH-cqpGM8YtSS2tSjXpBLhR5Vg164T5ETb5VMQMXbEPuFIptginRjpAyzpMzU9OWTqFf1caSD1pCL15Av4lhNWYk1A&flowName=GeneralOAuthFlow&as=S-1710985146%3A1715114128937128&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PvZYxmC_oKDP2ahoTFc1Sex4wMDEV-SlmatSnLbQF9qh23nnf28DDs2e4n_2WUaevi2FCIsGdEsPE7rQMKbwrl5JkQbQ#,https://accounts.google.com/signin/oauth/consent?authuser=0&part=AJi8hANHnSKtKMvmKJasXXnTHvm3kPaGyoRXiFbIqU9VGSsoHc9hwNQlNjo4WiRA8VgZacpwScRW_PlgZ5-WdGbvmjOfZFeBP-4s2bFsBn9wOF2XkCkS9Kgk8Yf4rqydPtszArKWv-wnCqXQbP65ShmpNdWoY-NXu6ppd8hNuoOQB3wUTsB8c8SXUjVZMWVKwU0sR0_yagcfN8CNymWBB8F2NkhQlFItWkBX4pC6M40mVpc53bj2mlUZOAHIgrXbkPPzNss5dIV-mhdUKAPOaDFS3XjKxZWhXh6_6I6BO_uKZG0ETLiytdeMklS2CHMhUvTOa02D1v2-Ua5yEewGzHzpEGt62Y8S9YMdbv2MAn0kPw8ebYlHlb9KGE-HKdgYRd4BEXlVPH-cqpGM8YtSS2tSjXpBLhR5Vg164T5ETb5VMQMXbEPuFIptginRjpAyzpMzU9OWTqFf1caSD1pCL15Av4lhNWYk1A&flowName=GeneralOAuthFlow&as=S-1710985146%3A1715114128937128&client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&pli=1&rapt=AEjHL4PvZYxmC_oKDP2ahoTFc1Sex4wMDEV-SlmatSnLbQF9qh23nnf28DDs2e4n_2WUaevi2FCIsGdEsPE7rQMKbwrl5JkQbQ#,2,0,link
9,21679,5/7/2024,17:35:30,Fazer login nas Contas do Google,https://accounts.google.com/o/oauth2/auth/oauthchooseaccount?client_id=823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive%20https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive.install&response_type=none%20gsession&access_type=offline&redirect_uri=storagerelay%3A%2F%2Fhttps%2Faistudio.google.com%3Fid%3Dauth12354&login_hint=118361166103331052476&service=lso&o2v=1&ddm=0&flowName=GeneralOAuthFlow,2,0,link
